municipio,ano,ciclo,classificacao,fonte
Alta Floresta,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Alto Boa Vista,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Alto Garças,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Alto Paraguai,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Alto Taquari,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Araguainha,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Araputanga,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Arenápolis,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Barão de Melgaço,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Campinápolis,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Campo Verde,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Canabrava do Norte,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Canarana,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Chapada dos Guimarães,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Cláudia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Colniza,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Comodoro,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Confresa,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Conquista D'Oeste,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Cotriguaçu,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Curvelândia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Denise,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Feliz Natal,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Guarantã do Norte,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Guiratinga,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Itanhangá,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Itaúba,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Itiquira,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Jaciara,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Jangada,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Juara,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Juscimeira,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Lucas do Rio Verde,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Matupá,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nortelândia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nossa Senhora do Livramento,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Brasilândia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Canaã do Norte,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Marilândia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Maringá,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Monte Verde,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Mutum,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Olímpia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Nova Xavantina,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Novo Mundo,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Novo São Joaquim,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Paranatinga,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Pedra Preta,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Peixoto de Azevedo,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Poconé,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Pontal do Araguaia,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Pontes e Lacerda,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Porto Estrela,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Porto dos Gaúchos,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Primavera do Leste,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Reserva do Cabaçal,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Rondonópolis,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Rosário Oeste,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Santa Carmem,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Santa Cruz do Xingu,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Santa Rita do Trivelato,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Sapezal,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
Sorriso,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
São José do Povo,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
São José do Xingu,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
São José dos Quatro Marcos,2025,Jan/2025,Alerta,SES-MT Alerta 001/2025
