"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510010 Acorizal",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,2,17
"510020 Água Boa",0,1,0,4,5,0,6,8,6,3,2,9,3,5,9,4,3,4,5,4,1,0,6,4,6,3,2,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,1,0,0,0,0,1,0,1,0,1,117
"510025 Alta Floresta",1,7,15,7,4,11,13,17,8,12,8,8,8,12,15,25,10,20,22,25,8,7,10,3,5,1,2,6,2,1,2,0,0,1,2,2,2,1,2,4,3,1,3,2,3,0,2,1,3,4,2,1,334
"510030 Alto Araguaia",0,0,3,1,6,10,6,17,8,12,10,13,1,25,3,14,2,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,148
"510035 Alto Boa Vista",0,0,0,0,0,1,2,4,1,3,8,1,8,16,7,22,23,5,11,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"510040 Alto Garças",0,1,2,0,3,1,2,10,17,13,12,18,6,6,10,43,35,27,35,50,69,34,34,29,18,22,19,10,3,7,4,1,0,2,0,0,1,0,1,0,0,1,0,0,0,2,0,1,5,2,2,0,558
"510050 Alto Paraguai",0,0,0,0,0,0,0,3,0,1,3,6,4,66,4,106,4,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
"510060 Alto Taquari",0,6,1,0,3,10,5,8,2,3,12,13,23,24,20,26,27,16,24,19,12,2,4,5,8,8,4,3,2,4,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,303
"510080 Apiacás",0,0,0,1,0,1,0,0,3,4,2,7,2,1,2,0,0,0,2,1,0,0,0,0,0,1,0,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,44
"510100 Araguaiana",0,0,0,1,1,0,2,3,3,1,3,3,3,7,10,7,4,8,3,5,6,5,4,1,7,6,7,8,8,8,4,4,2,3,0,2,2,1,0,4,6,0,0,4,7,0,1,4,4,10,26,17,225
"510120 Araguainha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
