"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"510010 Acorizal",2,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"510020 Água Boa",3,2,6,4,3,14,8,6,5,13,8,11,17,10,8,7,16,50,54,59,50,28,29,24,18,16,9,4,10,13,6,4,5,6,6,2,1,3,0,1,0,0,539
"510025 Alta Floresta",2,4,9,6,5,17,9,22,17,8,25,19,34,13,28,12,12,13,10,11,4,8,6,4,6,4,4,2,1,0,1,0,3,3,2,3,4,7,8,6,4,4,360
"510030 Alto Araguaia",0,0,3,0,9,5,11,5,1,0,1,4,17,15,15,8,5,2,5,9,6,7,4,8,6,3,5,1,1,1,1,0,3,1,2,0,0,0,0,0,0,0,164
"510035 Alto Boa Vista",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"510040 Alto Garças",2,5,13,7,8,18,17,20,6,4,6,6,5,6,11,12,18,6,10,5,8,10,29,10,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247
"510050 Alto Paraguai",0,0,0,0,0,1,2,1,0,3,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"510060 Alto Taquari",0,0,1,7,6,1,2,2,0,1,2,1,7,5,7,3,6,3,4,2,7,8,1,8,4,0,3,0,2,0,0,1,1,0,0,0,0,2,0,3,1,3,104
"510080 Apiacás",5,3,20,6,9,27,21,41,35,35,27,15,27,22,23,22,16,9,12,11,13,8,3,9,1,1,5,7,0,7,10,2,5,2,0,0,0,0,0,0,0,0,459
"510100 Araguaiana",11,10,23,21,13,6,10,9,2,2,3,2,2,2,4,3,7,4,2,4,4,2,0,1,0,1,1,0,1,1,0,1,2,0,0,3,0,0,0,0,0,0,157
"510120 Araguainha",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9
"510125 Araputanga",2,18,17,13,19,8,19,35,18,26,31,21,18,16,10,16,15,14,18,16,20,22,17,12,15,17,20,12,11,15,7,5,3,5,1,5,3,1,5,2,1,0,549
"510130 Arenápolis",0,2,4,7,6,1,8,3,4,5,8,3,2,0,6,2,1,0,3,7,3,2,1,1,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,86
"510140 Aripuanã",1,9,1,2,8,5,11,9,4,4,17,11,18,17,9,4,8,9,6,7,14,7,6,9,3,0,3,2,1,0,1,2,1,1,0,1,0,0,0,0,0,0,211
"510160 Barão de Melgaço",0,3,3,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"510170 Barra do Bugres",0,2,0,0,1,0,0,2,0,1,1,2,0,0,0,0,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18
"510180 Barra do Garças",0,5,10,9,17,11,17,33,34,12,17,13,15,15,11,8,8,8,12,15,11,15,19,14,16,14,8,5,8,6,8,13,6,6,7,3,7,7,2,3,4,3,455
"510185 Bom Jesus do Araguaia",12,37,24,30,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"510190 Brasnorte",0,0,5,2,6,2,7,4,5,8,2,3,6,13,12,9,10,3,10,15,33,21,34,14,9,22,16,17,7,11,4,3,3,1,4,0,2,3,5,2,1,0,334
"510250 Cáceres",65,113,121,87,121,152,150,138,84,76,99,63,64,73,46,58,72,51,65,55,26,17,15,9,6,18,4,11,4,4,4,5,4,12,3,4,6,7,8,8,10,3,1941
"510260 Campinápolis",3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,4,0,3,3,7,6,0,6,1,4,0,0,6,0,1,0,1,1,0,3,0,0,0,0,0,2,59
"510263 Campo Novo do Parecis",0,1,1,2,5,10,3,2,2,3,3,8,4,4,4,5,9,10,9,11,5,5,5,5,5,4,0,2,4,3,0,3,0,1,0,0,6,1,1,0,0,0,146
"510267 Campo Verde",1,3,5,4,12,17,17,17,18,5,13,8,7,3,3,5,10,3,10,3,5,4,2,6,5,2,3,2,2,0,0,0,1,3,1,5,4,2,4,5,8,6,234
